1001;Maria Anders;Obere Str. 57;Berlin;Alemanha;030-0074321;
1002;Ana Trujillo;Avda. de la Constitucion 2222;Mexico D.F.;Mexico;(5) 555-4729;
1003;Antonio Moreno;Mataderos 2312;Mexico D.F.;Mexico;(5) 555-3932;
1004;Thomas Hardy;120 Hanover Sq.;London;Reino Unido;(171) 555-7788;
1005;Christina Berglund;Berguvsgen  8;Lulet;Suecia;0921-12 34 65;
1006;Hanna Moos;Forster str. 57;Mannheim;Alemanha;0621-08460;
1007;Fredrique Citeaux;24, place Kleber;Strasbourg;Franca;88.60.15.31;
1008;Martin Sommer;C/ Araquil,67;Madrid;Espanha;(91) 555 22 82;
1009;Laurence Lebihan;12, rue des Bouchers;Marseille;Franca;91.24.45.40;
1010;Elizabeth Lincoln;23 Tsawassen Blvd.;Tsawassen;Canada;(604) 555-4729;
1011;Victoria Ashworth;Fauntleroy Circus;London;Reino Unido;(171) 555-1212;
1012;Patricio Simpson;Cerrito 333;Buenos Aires;Argentina;(1) 135-5555;
1013;Francisco Chang;Sierras de Granada 9993;Mexico D.F.;Mexico;(5) 555-3392;
1014;Yang Wang;Hauptstr. 29;Bern;Suica;0452-076545;
1015;Pedro Afonso;Av. dos Lusiadas, 23;Sao Paulo;Brasil;(11) 555-7647;
1016;Elizabeth Brown;"Berkeley Gardens 12  Brewery";London;Reino Unido;(171) 555-2282;
1017;Sven Ottlieb;Walserweg 21;Aachen;Alemanha;0241-039123;
1018;Janine Labrune;67, rue des Cinquante Otages;Nantes;Franca;40.67.88.88;
1019;Ann Devon;35 King George;London;Reino Unido;(171) 555-0297;
1020;Roland Mendel;Kirchgasse 6;Graz;Austria;7675-3425;
2001;Aria Cruz;Rua Orcs, 92;Sao Paulo;Brasil;(11) 555-9857;
2002;Diego Roel;C/ Moralzarzal, 86;Madrid;Espanha;(91) 555 94 44;
2003;Martine Ranca;184, chaussae de Tournai;Lille;Franca;20.16.10.16;
2004;Maria Larsson;kergatan 24;Brecke;Suecia;0695-34 67 21;
2005;Carine Schmitt;54, rue Royale;Nantes;Franca;40.32.21.21;
2006;Paolo Accorti;Via Monte Bianco 34;Torino;Italia;011-4988260;
2007;Lino Rodriguez;Jardim das rosas n. 32;Lisboa;Portugal;(1) 354-2534;
2008;Eduardo Saavedra;Rambla de Cataluaa, 23;Barcelona;Espanha;(93) 203 4560;
2009;Jose Pedro Freyre;C/ Romero, 33;Sevilla;Espanha;(95) 555 82 82;
